pageid,title,wikidata,label
1173624,Alassane Ouattara,Q57413,Alassane Ouattara
20806009,Patrick Achi,Q3369176,Patrick Achi
31498217,Dominique Ouattara,Q514954,Dominique Folloroux-Ouattara
65703813,Kouadio Konan Bertin,Q100980938,Kouadio Konan Bertin
67006175,Mariatou Koné,Q24056959,Mariatou Koné
67047905,Kandia Camara,Q3192595,Kandia Camara
67048004,Kaba Nialé,Q22085045,Kaba Nialé
67121340,Téné Birahima Ouattara,Q105833518,Téné Birahima Ouattara
68546615,Sidi Tiémoko Touré,Q21280596,Sidi Tiémoko Touré
69477136,Nasseneba Touré Diané,Q107266901,Nasseneba Touré Diané
69477168,Belmonde Dogo,Q107466615,Belmonde Dogo
70597171,Tiémoko Meyliet Koné,Q19392607,Tiémoko Meyliet Koné
