id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q107136438,Souleymane Roel Kone,male,1951-12-20,11,,,,
Q1394077,Seydou Diarra,male,1933-11-23,11,2020-07-19,11,,Seydou Diarra
Q179242,Laurent Gbagbo,male,1945-05-31,11,,,Laurent Gbagbo (2008).jpg,Laurent Gbagbo
Q1888117,Mamadou Koulibaly,male,1957-04-21,11,,,Pr. Mamadou Koulibaly (LIDER).jpg,Mamadou Koulibaly
Q22085045,Kaba Nialé,female,1962,9,,,Nialé Kaba2.jpg,Kaba Nialé
Q27757660,Yasmina Ouégnin,female,1979-06-08,11,,,Yasmina Ouegnin 01.jpg,
Q2824041,Adama Coulibaly,male,1942-06-05,11,,,Adama coulibaly.jpg,
Q2838739,Ally Coulibaly,male,1951-01-01,11,,,,
Q2840866,Amadou Gon Coulibaly,male,1959-02-10,11,2020-07-08,11,Prime Minister Amadou Gon Coulibaly (cropped).jpg,Amadou Gon Coulibaly
Q2959525,Charles Koffi Diby,male,1957-09-07,11,2019-12-07,11,Dibykoffi.png,Charles Koffi Diby
Q3126401,Hamed Bakayoko,male,1965-03-08,11,2021-03-10,11,Hamed Bakayoko (cropped).jpg,Hamed Bakayoko
Q3370489,Paul Antoine Bohoun Bouabré,male,1957-02-09,11,2012-01-11,11,"Bohoun Bouabré, IMF 2004.jpg",Paul Antoine Bohoun Bouabré
Q3526462,Théodore Mel Eg,male,1952-07-10,11,2019-07-11,11,,Théodore Mel Eg
Q357802,Robert Guéï,male,1941-03-16,11,2002-09-19,11,Rober Guei.jpg,Robert Guéï
Q437761,Simone Gbagbo,female,1949-06-20,11,,,Simone Gbabgbo usembassy 2006 crop.JPG,Simone Gbagbo
Q455728,Charles Konan Banny,male,1942-11-11,11,2021-09-10,11,,Charles Konan Banny
Q49500308,Célestine Olibé Trazéré,female,1967-04-06,11,,,,
Q514954,Dominique Folloroux-Ouattara,female,1953-12-16,11,,,Dominique Ouattara 22-11-2011.jpg,Dominique Ouattara
Q515195,Philippe Mangou,male,1952-01-26,11,,,Mangou.jpg,Philippe Mangou
Q57413,Alassane Ouattara,male,1942-01-01,11,,,Alassane Ouattara UNESCO 09-2011.jpg,Alassane Ouattara
Q57867,Jeannot Ahoussou-Kouadio,male,1951-03-06,11,,,,Jeannot Ahoussou-Kouadio
Q58154,Daniel Kablan Duncan,male,1943-06-30,11,,,Daniel Kablan Duncan 2014.png,Daniel Kablan Duncan
Q63611068,Soumaila Bakayoko,male,1953-12-31,11,,,CemaFn.jpg,
Q656275,Rose Doudou Guéï,female,,7,2002-09-19,11,,Rose Doudou Guéï
Q68770341,Amadou Soumahoro,male,1953-10-31,11,2022-05-07,11,Amadou SOUMAHORO.jpg,Amadou Soumahoro
Q71437989,Charles Gomis,male,1941-02-05,11,2021-07-16,11,,Charles Gomis
Q717915,Pascal Affi N'Guessan,male,1953-01-01,11,,,Affi1.jpg,Pascal Affi N'Guessan
Q99313278,Adama Koné,male,,,,,,
Q99314971,N'golo Coulibaly,male,,,,,,
