itemLabel,positionLabel,gender
PATRICK JEROME ACHI,"PREMIER MINISTRE, CHEF DU GOUVERNEMENT",
Mme KANDIA KAMISSOKO CAMARA,"Ministre d’Etat, Ministre des Affaires Etrangères, de l’intégration Africaine et de la Diaspora",female
M. TENE BIRAHIMA OUATTARA,"Ministre d’Etat, Ministre de la Défense",male
M. KOBENAN KOUASSI ADJOUMANI,"Ministre d’Etat, Ministre de l’Agriculture et du Développement Rural",male
M. SANSAN KAMBILE,"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme",male
Gal. VAGONDO DIOMANDE,Ministre de l’Intérieur et de la Sécurité,
Mme NIALE KABA,Ministre du Plan et du Développement,female
M. MAMADOU SANGAFOWA COULIBALY,"Ministre des Mines, du Pétrole et de l’Energie",male
Mme ANNE DESIREE OULOTO,Ministre de la Fonction Publique,female
M. AMADOU KONE,Ministre des Transports,male
M. ADAMA COULIBALY,Ministre de l’Economie et des Finances,male
M. BRUNO NABAGNE KONE,"Ministre de la Construction, du Logement et de l'Urbanisme",male
M. MOUSSA SANOGO,Ministre du Budget et du Portefeuille de l’Etat,male
M. LAURENT TCHAGBA,Ministre des Eaux et Forêts,male
M. AMÉDÉ KOFFI KOUAKOU,Ministre de l’Equipement et de l’Entretien routier,male
Mme MARIATOU KONE,Ministre de l’Education Nationale et de l’Alphabétisation,female
M. SOULEYMANE DIARRASSOUBA,"Ministre du Commerce, de l’Industrie et de la Promotion des PME",male
M.BERTIN KOUADIO KONAN,Ministre de la Réconciliation et de la Cohésion Nationale,male
M. PAULIN CLAUDE DANHO,Ministre des Sports,male
M. SIDI TIEMOKO TOURE,Ministre des Ressources Animales et Halieutiques,male
M. AMADOU COULIBALY,"Ministre de la Communication et de l’Economie Numérique, porte-parole du gouvernement",male
M. MAMADOU TOURE,"Ministre de la Promotion de la Jeunesse , de l’Insertion professionnelle et du Service civique, Porte-parole adjoint du Gouvernement",male
M. SIANDOU FOFANA,Ministre du Tourisme,male
M. ADAMA DIAWARA,Ministre de l’Enseignement Supérieur et de la Recherche Scientifique,male
M. PIERRE DIMBA,"Ministre de la Santé, de l’Hygiène publique et de la Couverture Maladie Universelle",male
M. BOUAKE FOFANA,"Ministre de l’Hydraulique, de l’Assainissement et de la Salubrité",male
M. EPIPHANE ZORO BALLO,Ministre de la Promotion de la Bonne Gouvernance et de la lutte contre la corruption,male
Mme LOGBOH MYSS BELMONDE DOGO,Ministre de la Solidarité et de la lutte contre la Pauvreté,female
M. ADAMA KAMARA,Ministre de l’Emploi et de la Protection sociale,male
Mme NASSENEBA TOURE,"Ministre de la Femme, de la Famille et de l’Enfant",female
M. KOFFI N’GUESSAN,"Ministre de l’Enseignement technique, de la Formation professionnelle et de l’Apprentissage",male
Mme FRANÇOISE REMARCK,Ministre de la Culture et de la Francophonie,female
M. JEAN-LUC ASSI,Ministre de l’Environnement et du Développement Durable,male
