itemLabel,positionLabel
PATRICK JEROME ACHI,"PREMIER MINISTRE, CHEF DU GOUVERNEMENT"
MME KANDIA KAMISSOKO CAMARA,"Ministre d’Etat, Ministre des Affaires Etrangères, de l’intégration Africaine et de la Diaspora"
M. TENE BIRAHIMA OUATTARA,"Ministre d’Etat, Ministre de la Défense"
M. KOBENAN KOUASSI ADJOUMANI,"Ministre d’Etat, Ministère de l’Agriculture et du Développement Rural"
M. SANSAN KAMBILE,"Garde des Sceaux, Ministre de la Justice et des Droits de l’Homme"
Gal. VAGONDO DIOMANDE,Ministre de l’Intérieur et de la Sécurité
M. ALAIN RICHARD DONWAHI,Ministre des Eaux et Forêts
MME NIALE KABA,Ministre du Plan et du Développement
M. AMADOU KONE,Ministre des Transports
M. ADAMA COULIBALY,Ministre de l’Economie et des Finances
MME ANNE DESIREE OULOTO,Ministre de la Fonction Publique et de la Modernisation de l’Administration
M. BRUNO NABAGNE KONE,"Ministre de la Construction, du Logement et de l'Urbanisme"
M. MOUSSA SANOGO,Ministre du Budget et du Portefeuille de l’Etat
M. LAURENT TCHAGBA,Ministre de l’Hydraulique
M. AMÉDÉ KOFFI KOUAKOU,Ministre de l’Equipement et de l’Entretien routier
MME MARIATOU KONE,Ministre de l’Education Nationale et de l’Alphabétisation
M.BERTIN KOUADIO KONAN,Ministre de la Réconciliation et de la Cohésion Nationale
M. SOULEYMANE DIARRASSOUBA,Ministre du Commerce et de l’Industrie
M. PAULIN CLAUDE DANHO,Ministre de la Promotion des Sports et du Développement de l’Economie sportive
M. AMADOU COULIBALY,"Ministre de la Communication , des Médias et de la Francophonie, porte-parole du gouvernement"
M. MAMADOU TOURE,"Ministre de la Promotion de la Jeunesse , de l’Insertion professionnelle et du Service civique, Porte-parole adjoint du Gouvernement"
M. EMMANUEL ESMEL ESSIS,Ministre de la Promotion de l’Investissement et du Développement du Secteur privé
M. FELIX ANOBLE,"Ministre de la Promotion des PME, de l’Artisanat et de la Transformation du secteur informel"
M. SIDI TIEMOKO TOURE,Ministre des Ressources Animales et Halieutiques
M. SIANDOU FOFANA,Ministre du Tourisme et des Loisirs
M. EPIPHANE ZORO BI BALLO,"Ministre de la Promotion de la Bonne Gouvernance, du Renforcement des capacités et de la lutte contre la corruption"
M. ROGER FELIX ADOM,"Ministre de l’Economie Numérique, des Télécommunications et de l’Innovation"
M. ADAMA DIAWARA,Ministre de l’Enseignement Supérieur et de la Recherche Scientifique
M. PIERRE DIMBA,"Ministre de la Santé, de l’Hygiène publique et de la Couverture Maladie Universelle"
M. THOMAS CAMARA,"Ministre des Mines, du Pétrole et de l’Energie"
M. BOUAKE FOFANA,Ministre de l’Assainissement et de la Salubrité
MME MYSS BELMONDE DOGO,Ministre de la Solidarité et de la lutte contre la Pauvreté
M. ADAMA KAMARA,Ministre de l’Emploi et de la Protection sociale
Mme. NASSENEBA TOURE,"Ministre de la Femme, de la Famille et de l’Enfant"
M. KOFFI N’GUESSAN,"Ministre de l’Enseignement technique, de la Formation professionnelle et de l’Apprentissage"
Mme. ARLETTE BADOU N’GUESSAN KOUAME,Ministre de la Culture et de l’Industrie des Arts et du Spectacle
M. JEAN-LUC ASSI,Ministre de l’Environnement et du Développement Durable
M. ALCIDE DJEDJE,"Ministre délégué auprès du Ministre d’Etat, Ministre des Affaires Etrangères de l’intégration Africaine et de la Diaspora, chargé de l’intégration Africaine"
M. KOFFI N'GUESSAN LATAILLE,"Secrétaire d’Etat auprès du Ministre de la Construction, du Logement et de l’Urbanisme, chargé du Logement Social"
M. BRICE KOUAME KOUASSI,"Secrétaire d’Etat auprès du Ministre de la Fonction Publique et de la Modernisation de l’Administration, chargé de la Modernisation de l’Administration"
M. CELESTIN SEREY DOH,"Secrétaire d’Etat auprès du Ministre des Transports, chargé des Affaires Maritimes"
Mme CLARISSE KAYO MAHI,"Secrétaire d’Etat auprès du Ministre de l’Emploi et de la Protection Sociale, chargé de la Protection Sociale"
