item,itemLabel,startDate,endDate
Q1394077,Seydou Diarra,2000-05-18,2000-10-27
Q717915,Pascal Affi N'Guessan,2000-10-27,2003-02-10
Q1394077,Seydou Diarra,2003-02-10,2005-12-07
Q455728,Charles Konan Banny,2005-12-07,2007-04-04
Q313994,Guillaume Soro,2007-04-04,2012-03-13
Q971859,Gilbert Aké,2010-12-06,2011-04-11
Q57867,Jeannot Ahoussou-Kouadio,2012-03-13,2012-11-21
Q58154,Daniel Kablan Duncan,2012-11-21,2017-01-10
Q2840866,Amadou Gon Coulibaly,2017-01-10,2020-07-08
Q3126401,Hamed Bakayoko,2020-07-08,2021-03-08
Q3369176,Patrick Achi,2021-03-08,
